Gene	SGD	UniProt	CC527	CC518	CC516	CC522	CC526	CC525	CC523	CC517	CC530	CC519	CC524	CC528	CC520	CC515	CC529	CC531	CC521
TDH1	S000003588	G3P1_YEAST	12	68	444	1	1	0	0	46	32	0	0	4	0	406	1	23	1
TDH2	S000003769	G3P2_YEAST	23	130	1058	3	4	1	0	84	43	1	0	8	1	775	1	30	4
TDH3	S000003424	G3P3_YEAST	30	205	1418	3	4	1	0	126	54	1	0	11	1	1156	1	39	4
EFT1	S000005659	EF2_YEAST	21	101	157	2	13	12	0	82	58	6	1	5	3	70	1	63	5
VPS1	S000001709	VPS1_YEAST	1	0	0	1	2	0	0	1	5	0	0	0	1	0	0	11	1
EFT2	S000002793	EF2_YEAST	21	101	157	2	13	12	0	82	58	6	1	5	3	70	1	63	5
ARB1	S000000838	ARB1_YEAST	6	0	1	1	1	3	0	0	7	2	0	4	0	0	0	10	0
RPS19B	S000005246	RS19B_YEAST	21	11	32	2	14	8	3	14	11	4	3	9	5	26	5	14	2
RPS19A	S000005481	RS19A_YEAST	21	11	32	2	14	8	3	14	11	4	3	9	5	26	5	14	2
PGI1	S000000400	G6PI_YEAST	3	27	48	0	0	0	0	14	0	0	0	0	0	39	0	0	0
RPO21	S000002299	RPB1_YEAST	1	0	0	0	0	0	0	0	11	0	0	2	0	0	0	16	0
RPT6	S000003016	PRS8_YEAST	3	0	0	0	1	0	0	0	6	1	0	0	0	0	0	11	0
RPL8B	S000003968	RL8B_YEAST	60	18	52	4	5	9	5	16	17	3	3	13	9	38	6	26	7
RPL8A	S000001025	RL8A_YEAST	63	18	38	4	5	9	5	15	20	1	3	13	5	33	6	35	6
RPT5	S000005643	PRS6A_YEAST	1	0	0	0	0	2	0	0	18	1	0	0	0	0	0	22	0
GSC2	S000003264	FKS2_YEAST	1	0	0	0	3	1	0	0	22	0	0	0	0	0	0	29	0
ALD6	S000005982	ALDH6_YEAST	5	14	14	0	0	0	0	20	26	0	0	0	0	2	0	11	0
YJR028W	S000003789	YJ12A_YEAST	16	8	2	1	3	1	0	9	10	2	1	3	0	0	0	21	3
YER159C-A	S000007403	YD14A_YEAST;YE12A_YEAST;YG13A_YEAST;YL11A_YEAST;YM14A_YEAST	16	8	2	1	3	1	0	9	10	2	1	3	0	0	0	21	3
YDR365W-B	S000007401	TY1AB_YEASX;YD15B_YEAST;YL14B_YEAST	16	8	2	1	3	1	0	9	27	3	1	6	0	0	0	55	6
YDR365W-A	S000007400	YD15A_YEAST;YE11A_YEAST;YL12A_YEAST;YP11A_YEAST	16	8	2	1	3	1	0	9	10	3	1	3	0	0	0	21	3
GCD11	S000000827	IF2G_YEAST	6	0	4	1	2	1	0	0	9	0	0	0	0	1	0	13	0
sp|K2C1_HUMAN|	-	-	22	56	16	7	15	2	0	50	35	8	0	33	23	11	12	83	9
YDR316W-A	S000007398	YD14A_YEAST;YE12A_YEAST;YG13A_YEAST;YL11A_YEAST;YM14A_YEAST	16	8	2	1	3	1	0	9	10	2	1	3	0	0	0	21	3
YDR316W-B	S000007399	YD14B_YEAST	16	8	2	1	3	1	0	9	28	3	1	6	0	0	0	56	7
YEF3	S000004239	EF3A_YEAST	31	74	118	3	4	6	0	62	23	2	1	5	4	42	1	29	3
RPL16B	S000005013	RL16B_YEAST	5	4	25	2	4	2	3	18	9	2	2	4	2	30	2	12	2
RPL16A	S000001395	RL16A_YEAST	2	0	16	1	4	0	3	12	6	2	0	2	0	15	1	9	0
RPS17A	S000004486	RS17A_YEAST	22	40	48	1	2	2	4	21	8	2	3	5	1	32	2	10	3
RPS17B	S000002855	RS17B_YEAST	22	40	48	1	2	2	4	21	8	2	3	5	1	32	2	10	3
NOP1	S000002172	FBRL_YEAST	2	0	136	53	63	60	26	0	205	38	24	141	151	178	117	251	39
PSA1	S000002213	MPG1_YEAST	3	14	28	0	2	2	0	14	22	0	0	0	0	15	0	33	0
NOP7	S000003335	PESC_YEAST	1	0	0	5	7	0	1	0	19	5	6	12	12	0	13	17	5
HTS1	S000006237	SYH_YEAST	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADE5,7	S000003203	PUR2_YEAST	1	3	0	0	0	0	0	1	3	0	0	0	0	0	0	5	0
RPL7B	S000006119	RL7B_YEAST	23	40	106	4	7	3	2	33	15	4	2	9	7	102	5	26	7
CCT8	S000003545	TCPQ_YEAST	2	0	0	0	2	0	0	0	8	1	0	0	0	0	0	13	0
DED81	S000001061	SYNC_YEAST	6	0	1	1	0	0	0	3	2	0	0	0	0	0	0	1	0
CCT2	S000001404	TCPB_YEAST	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0
CCT3	S000003551	TCPG_YEAST	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	9	0
CCT7	S000003647	TCPH_YEAST	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
CCT4	S000002302	TCPD_YEAST	3	0	0	0	1	3	0	0	6	1	0	0	0	0	0	7	0
RPL11B	S000003317	RL11B_YEAST	10	4	12	3	7	4	5	11	16	4	4	9	1	14	2	22	2
RPL11A	S000006306	RL11A_YEAST	10	4	12	3	7	4	5	11	16	4	4	9	1	14	2	22	2
YPT1	S000001856	YPT1_YEAST	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
RPL26A	S000004336	RL26A_YEAST	24	15	27	2	6	10	2	17	12	2	3	8	2	16	2	10	2
RPL26B	S000003266	RL26B_YEAST	24	15	29	2	6	10	2	17	13	2	3	8	2	17	2	11	2
RPS28B	S000004254	RS28B_YEAST	4	2	3	1	0	0	0	5	5	1	1	3	1	0	1	4	0
RPS28A	S000005693	RS28A_YEAST	4	2	3	1	0	0	0	5	5	1	1	3	1	0	1	4	0
PHO88	S000000310	PHO88_YEAST	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0
ZUO1	S000003517	ZUO1_YEAST	6	0	0	1	2	0	2	0	4	0	0	0	0	0	0	2	0
ILS1	S000000172	SYIC_YEAST	1	7	0	0	0	0	0	3	3	0	0	0	0	0	0	3	0
YJR027W	S000003788	YJ11B_YEAST	17	8	2	1	3	1	0	9	27	3	1	6	0	0	0	55	6
PDI1	S000000548	PDI_YEAST	1	0	3	0	0	0	0	2	9	0	0	0	0	0	0	0	0
RHR2	S000001315	GPP1_YEAST	1	37	34	0	0	1	0	28	5	0	0	0	0	29	0	1	0
YER160C	S000000962	YE12B_YEAST;YL11B_YEAST	17	8	2	1	3	1	0	9	22	3	1	3	0	0	0	49	7
sp|K22E_HUMAN|	-	-	11	3	3	2	3	0	0	14	6	3	2	11	4	1	9	47	3
YLR227W-B	S000007376	YL13B_YEAST	17	8	2	1	3	1	0	9	24	3	1	6	0	0	0	51	6
YLR227W-A	S000007375	YJ11A_YEAST;YL13A_YEAST;YM12A_YEAST	16	8	2	1	3	1	0	9	10	3	1	3	0	0	0	21	3
YAR010C	S000000068	YA11A_YEAST;YP12A_YEAST	16	8	2	1	3	1	0	9	10	2	1	3	0	0	0	21	3
RPS30B	S000005708	RS30A_YEAST;RS30B_YEAST	13	0	0	0	0	0	0	0	3	0	0	2	1	0	2	1	1
RPS30A	S000004278	RS30A_YEAST;RS30B_YEAST	13	0	0	0	0	0	0	0	3	0	0	2	1	0	2	1	1
KGD1	S000001387	ODO1_YEAST	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGR027W-A	S000007405	YG11A_YEAST	16	8	2	1	3	1	0	9	10	3	1	3	0	0	0	21	3
