Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
HCC827_EGFR	Q8WVM8	SCFD1	19454|16490|28156|29300	27864	6966.00	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	69660.00	0.00	
HCC827_EGFR	Q13049	TRIM32	16305|12636|25821|29853	19079	4769.75	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	47697.50	0.00	
HCC827_EGFR	P35232	PHB	41821|38856|0|0	15141	3785.25	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.32	37852.50	0.09	
HCC827_EGFR	O00459	PIK3R2	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	P09382	LGALS1	11739|11604|14706|34446	6959	1739.75	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	17397.50	0.00	
HCC827_EGFR	P07900	HSP90AA1	46873|48746|58088|10327	32962	8240.50	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	82405.00	0.00	
HCC827_EGFR	Q14568	HSP90AA2P	61072|64057|57650|10984	62691	15672.75	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	156727.50	0.00	
HCC827_EGFR	P08238	HSP90AB1	44545|53878|60348|31913	59612	14903.00	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	149030.00	0.00	
HCC827_EGFR	Q58FF8	HSP90AB2P	29238|31686|31543|276	27207	6801.75	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	395.35	68017.50	0.00	
HCC827_EGFR	P04259	KRT6B	0|0|46262|57539	38265	9566.25	4	0|0|48467|0	0.00	0.00	0.00	0.00	0.00	-inf	0.79	0.44	
HCC827_EGFR	P02538	KRT6A	0|0|47105|57649	39218	9804.50	4	0|0|39524|0	0.25	1.00	0.25	1.00	0.25	-inf	0.99	0.43	
HCC827_EGFR	P48668	KRT6C	0|0|47105|57649	39218	9804.50	4	0|0|39524|0	0.25	1.00	0.25	1.00	0.25	-inf	0.99	0.43	
HCC827_EGFR	P04264	KRT1	0|0|998|3341	4339	1084.75	4	11081|48392|3747|6394	0.00	0.00	0.00	0.00	0.00	-inf	1.06	0.45	
HCC827_EGFR	Q96P48	ARAP1	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	Q12774	ARHGEF5	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	P18433	PTPRA	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	Q07021	C1QBP	0|0|0|0	0	0.00	4	43465|39749|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.46	
HCC827_EGFR	P42338	PIK3CB	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	Q96NH3	TBC1D32	19915|43848|47183|43658	23532	5883.00	4	1215|42271|55486|43985	1.00	1.00	1.00	1.00	1.00	8.10	1.98	0.00	
HCC827_EGFR	P33992	MCM5	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	P11021	HSPA5	64268|64917|62338|8884	3799	949.75	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	9497.50	0.00	
HCC827_EGFR	P13645	KRT10	0|0|32632|5583	38215	9553.75	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.32	95537.50	0.09	
HCC827_EGFR	O95831	AIFM1	0|102|0|115	217	54.25	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.32	542.50	0.09	
HCC827_EGFR	O00567	NOP56	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	P57088	TMEM33	108|145|130|140	523	130.75	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	158.32	1307.50	0.00	
HCC827_EGFR	O95782	AP2A1	21202|21958|25198|33075	35897	8974.25	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	89742.50	0.00	
HCC827_EGFR	O94973	AP2A2	181|204|219|241	845	211.25	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	261.48	2112.50	0.00	
HCC827_EGFR	O15482	TEX28	48794|49230|39881|19396	26229	6557.25	4	38042|33468|0|49069	0.00	0.00	0.00	0.00	0.00	-inf	0.48	0.46	
HCC827_EGFR	P05109	S100A8	0|0|0|0	0	0.00	4	0|0|42710|39332	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.46	
HCC827_EGFR	O60716	CTNND1	19982|22662|0|0	42644	10661.00	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.32	106610.00	0.09	
HCC827_EGFR	P07437	TUBB	58490|2474|52644|2017	50089	12522.25	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	125222.50	0.00	
HCC827_EGFR	P42704	LRPPRC	42339|52080|55012|61793	14616	3654.00	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	36540.00	0.00	
HCC827_EGFR	P38646	HSPA9	44955|55159|39131|43071	51244	12811.00	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	128110.00	0.00	
HCC827_EGFR	P35908	KRT2	0|0|10245|6122	16367	4091.75	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.32	40917.50	0.09	
HCC827_EGFR	Q01546	KRT76	0|0|30871|28344	59215	14803.75	4	0|0|45097|31556	0.50	1.00	0.50	1.00	0.50	-inf	5.33	0.26	
HCC827_EGFR	P19013	KRT4	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	P11142	HSPA8	37738|40840|1927|57623	7056	1764.00	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	17640.00	0.00	
HCC827_EGFR	P54652	HSPA2	25433|31002|60120|18904	4387	1096.75	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	10967.50	0.00	
HCC827_EGFR	Q8TEM1	NUP210	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	P62993	GRB2	16592|36576|13296|60397	61325	15331.25	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	153312.50	0.00	
HCC827_EGFR	P00533	EGFR	39973|4421|35243|9455	23556	5889.00	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	58890.00	0.00	
HCC827_EGFR	Q15751	HERC1	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	P68363	TUBA1B	7419|4284|64406|20180	30753	7688.25	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	76882.50	0.00	
HCC827_EGFR	Q71U36	TUBA1A	64268|59588|37197|47616	12061	3015.25	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	30152.50	0.00	
HCC827_EGFR	Q13748	TUBA3C	44230|37399|23137|25056	64286	16071.50	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	160715.00	0.00	
HCC827_EGFR	Q6PEY2	TUBA3E	44230|37399|23137|25056	64286	16071.50	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	160715.00	0.00	
HCC827_EGFR	Q9NY65	TUBA8	42244|43387|13956|15460	49511	12377.75	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	123777.50	0.00	
HCC827_EGFR	P68366	TUBA4A	39374|33587|47440|59682	49011	12252.75	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	122527.50	0.00	
