Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
HCC827ER_EGFR	Q8WVM8	SCFD1	36489|24998|0|0	61487	15371.75	4	19454|16490|28156|29300|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.50	1.00	0.50	1.00	0.50	-inf	11.03	0.34	
HCC827ER_EGFR	Q13049	TRIM32	0|0|0|0	0	0.00	4	16305|12636|25821|29853|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	P35232	PHB	0|0|0|0	0	0.00	4	41821|38856|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	O00459	PIK3R2	0|0|0|0	0	0.00	4	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|48756|21808|50563|49382	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	P09382	LGALS1	62555|14598|0|0	11617	2904.25	4	11739|11604|14706|34446|0|0|25831|32152|0|0|0|0|0|0|32772|15932|0|0|0|31678	0.50	1.00	0.50	1.00	0.50	-inf	4.08	0.29	
HCC827ER_EGFR	P07900	HSP90AA1	57256|264|0|0	57520	14380.00	4	46873|48746|58088|10327|0|0|0|8001|0|0|0|0|0|0|0|0|0|0|0|0	0.25	1.00	0.25	1.00	0.25	-inf	7.02	0.47	
HCC827ER_EGFR	Q14568	HSP90AA2P	36407|51516|0|0	22387	5596.75	4	61072|64057|57650|10984|11236|49904|46120|8453|0|0|0|0|0|0|0|0|0|0|0|0	0.50	1.00	0.50	1.00	0.50	-inf	2.36	0.32	
HCC827ER_EGFR	P08238	HSP90AB1	57481|0|0|0	57481	14370.25	4	44545|53878|60348|31913|0|0|4086|33730|0|0|0|0|0|0|0|0|0|0|0|0	0.25	1.00	0.25	1.00	0.25	-inf	9.01	0.46	
HCC827ER_EGFR	Q58FF8	HSP90AB2P	190|226|0|0	416	104.00	4	29238|31686|31543|276|277|339|334|373|0|0|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.07	0.55	
HCC827ER_EGFR	P04259	KRT6B	6349|7668|0|0	14017	3504.25	4	0|0|46262|57539|51134|20774|0|0|0|0|48467|0|0|0|13436|11412|50008|49708|0|0	0.50	1.00	0.50	1.00	0.50	-inf	3.33	0.36	
HCC827ER_EGFR	P02538	KRT6A	4219|5205|0|0	9424	2356.00	4	0|0|47105|57649|47996|10352|0|0|0|0|39524|0|0|0|10033|8241|43141|47266|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.96	0.55	
HCC827ER_EGFR	P48668	KRT6C	4219|5205|0|0	9424	2356.00	4	0|0|47105|57649|47996|10352|0|0|0|0|39524|0|0|0|10033|8241|43141|47266|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.96	0.55	
HCC827ER_EGFR	P04264	KRT1	51772|36831|0|0	23067	5766.75	4	0|0|998|3341|8125|8195|2382|0|11081|48392|3747|6394|63266|13422|27087|47974|44394|1147|25148|43959	0.50	1.00	0.50	1.00	0.50	-inf	3.68	0.30	
HCC827ER_EGFR	Q96P48	ARAP1	0|0|0|0	0	0.00	4	0|0|0|0|0|0|0|0|0|0|0|0|0|0|8861|1381|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	Q12774	ARHGEF5	0|0|0|0	0	0.00	4	0|0|0|0|0|0|0|0|0|0|0|0|16163|3888|64659|3527|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	P18433	PTPRA	0|0|0|0	0	0.00	4	0|0|0|0|0|0|0|0|0|0|0|0|6117|15405|58358|40106|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	Q07021	C1QBP	0|0|0|0	0	0.00	4	0|0|0|0|0|0|0|0|43465|39749|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
