Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
ER_EGFR	EGFR_HUMAN	EGFR	36|29|12|9	86	21.50	4	67|52|45|55|5|3|4|5|0|0|0|0|19|18|36|36|7|6|12|7	0.00	0.00	0.00	0.00	0.00	-58.51	1.14	0.95	
ER_EGFR	ERBB2_HUMAN	ERBB2	2|1|0|0	3	0.75	4	4|5|3|5|0|0|0|0|0|0|0|0|0|0|3|1|0|0|0|0	0.00	0.02	0.00	0.02	0.00	-7.13	0.71	0.92	
ER_EGFR	P85B_HUMAN	PIK3R2	0|0|0|0	0	0.00	4	0|0|0|0|4|4|4|3|0|0|0|0|2|0|3|3|26|41|47|39	0.00	0.00	0.00	0.00	0.00	-40.01	0.00	0.95	
ER_EGFR	P55G_HUMAN	PIK3R3	0|0|0|0	0	0.00	4	0|0|0|0|2|2|3|3|0|0|0|0|0|0|0|0|3|4|2|3	0.00	0.00	0.00	0.00	0.00	-7.61	0.00	0.95	
ER_EGFR	P85A_HUMAN	PIK3R1	0|0|0|0	0	0.00	4	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-4.32	0.00	0.95	
ER_EGFR	K2C1_HUMAN	KRT1	17|17|1|1	36	9.00	4	3|4|6|5|8|8|6|6|10|10|7|7|10|7|13|10|16|14|9|7	0.00	0.00	0.00	0.00	0.00	-35.69	1.08	0.94	
ER_EGFR	K1C10_HUMAN	KRT10	10|11|1|1	23	5.75	4	2|0|3|3|5|5|3|2|1|2|4|3|3|3|9|9|11|8|2|3	0.01	0.02	0.01	0.02	0.01	-17.37	1.42	0.92	
ER_EGFR	K1C16_HUMAN	KRT16	0|0|0|0	0	0.00	4	0|0|2|1|0|1|0|0|1|1|2|2|0|0|0|0|2|1|0|0	0.00	0.00	0.00	0.00	0.00	-6.24	0.00	0.95	
ER_EGFR	GRB2_HUMAN	GRB2	1|1|0|0	2	0.50	4	2|0|2|2|0|0|0|0|0|0|0|0|9|6|10|11|0|1|1|1	0.00	0.00	0.00	0.00	0.00	-11.96	0.22	0.95	
ER_EGFR	GRP78_HUMAN	HSPA5	9|9|2|1	21	5.25	4	16|14|11|12|4|3|6|3|0|0|0|0|0|0|0|0|0|0|0|0	0.01	0.02	0.01	0.02	0.01	-14.37	1.52	0.91	
