name	comm	eigen
HS90B_HUMAN	5	0.445996015081939
PTN6_HUMAN	3	0.408968840693149
RL4_HUMAN	1	0.104516823802477
PAXI_HUMAN	3	0.538154934737087
GSK3A_HUMAN	5	0.0781315946751984
KPCD_HUMAN	5	0.326368816554989
AHNK_HUMAN	4	0.122772289251572
SRC8_HUMAN	2	0.255324472383597
RHG12_HUMAN	2	0.0596187838443484
SRRM1_HUMAN	1	0.0334335695781903
BI2L1_HUMAN	1	0.0217929032167488
CDK1_HUMAN	4	0.146937222822048
MK03_HUMAN	5	0.210662042057599
MK01_HUMAN	5	0.35274253382776
SRS11_HUMAN	1	0.0158695216791615
ADAM9_HUMAN	5	0.0194577119277277
MK14_HUMAN	4	0.297911445383743
LPP_HUMAN	2	0.00580315689837358
ICK_HUMAN	5	0.0265897400186109
DX39B_HUMAN	7	0.0664640082642472
WASL_HUMAN	2	0.172542011063157
DDX3X_HUMAN	6	0.0346882289851362
MYPT1_HUMAN	2	0.0680150672759794
SC16A_HUMAN	3	0.046451783377584
SHIP2_HUMAN	6	0.389277599760575
PAPS1_HUMAN	1	0.0113069591912274
RIPK2_HUMAN	4	0.00908903265745949
E41L2_HUMAN	7	0.0105305055511786
DYRK3_HUMAN	2	0.0596187838443484
CTND1_HUMAN	4	0.13062150111742
ROCK2_HUMAN	2	0.0131440082515449
CDKL5_HUMAN	2	0.0596187838443484
CLD1_HUMAN	2	0.000594056194305849
EGFR_HUMAN	4	0.909819718380127
ANXA1_HUMAN	4	0.0542423451274308
ITB1_HUMAN	3	0.213391227403433
K1C18_HUMAN	4	0.189477168286517
ANXA2_HUMAN	3	0.149469004652253
PROF1_HUMAN	2	0.0535676101950142
YES_HUMAN	3	0.281527030374044
LYN_HUMAN	3	0.577714977281366
IGF1R_HUMAN	3	0.331176274286258
MET_HUMAN	3	0.461630242513519
RU17_HUMAN	1	0.0135515442919357
VIME_HUMAN	4	0.152452500225247
ROA1_HUMAN	1	0.146879965530391
41_HUMAN	7	0.0647728506786093
FGFR1_HUMAN	3	0.299340387791216
PLAK_HUMAN	4	0.0928885680466498
DESP_HUMAN	4	0.0443303129236334
NCK1_HUMAN	3	0.560379962046689
FER_HUMAN	4	0.132926226256571
CXA1_HUMAN	5	0.0356315554374121
DDX5_HUMAN	1	0.192556291311399
SON_HUMAN	1	0.0156441015894618
PGAM1_HUMAN	4	0.000158129693169272
PLCG1_HUMAN	3	0.610572557237993
RASA1_HUMAN	3	0.551069335600372
TGM2_HUMAN	3	0.0448062681897053
PSA2_HUMAN	1	0.0469857318672978
P85A_HUMAN	3	0.76628442237252
EPHA2_HUMAN	6	0.297174996361274
EPHA7_HUMAN	6	0.0177172118720079
SHC1_HUMAN	3	0.779146778620299
TYK2_HUMAN	3	0.229789252709569
SDC4_HUMAN	5	0.0515418546565874
HNRH3_HUMAN	1	0.0402762390690477
SYUA_HUMAN	5	0.101703063922087
RBMX_HUMAN	1	0.0779578463285273
IL6RB_HUMAN	3	0.243737869543964
TEC_HUMAN	3	0.30618789055811
ABL2_HUMAN	2	0.316059876317723
CRKL_HUMAN	3	0.51221617421802
MAP1B_HUMAN	5	0.0161478015789943
EMD_HUMAN	7	0.114816572538115
VASP_HUMAN	2	0.0973377268735361
HNRPM_HUMAN	1	0.0773848628661775
MK12_HUMAN	5	0.0806488647213335
AFAD_HUMAN	2	0.0682425293621121
BCAR1_HUMAN	3	0.416129639156068
MYL6_HUMAN	2	0.143666438303744
RL15_HUMAN	1	0.0179735046660367
HNRPK_HUMAN	1	0.227303266153765
PP1A_HUMAN	5	0.169147841409238
PP1B_HUMAN	2	0.127688844923586
TRA2B_HUMAN	1	0.0134045569052532
RS21_HUMAN	1	0.00730272441598758
EF1A1_HUMAN	1	0.189654307956824
CDK5_HUMAN	4	0.0591639515438977
FKBP4_HUMAN	5	0.0916319376016098
FAK1_HUMAN	3	0.571271622333159
PTN11_HUMAN	3	0.56545389878919
MERTK_HUMAN	2	0.0596187838443485
KHDR1_HUMAN	1	0.365537533835733
ACK1_HUMAN	3	0.26511828188003
MYO1E_HUMAN	7	0.00747300544971967
ROA0_HUMAN	1	0.0382152071789937
MK07_HUMAN	5	0.0342519534802562
GAB1_HUMAN	3	0.568655322536518
DCTN2_HUMAN	5	0.14045086899039
RIN1_HUMAN	2	0.07715398718252
SPTN1_HUMAN	7	0.176630666916511
IF4H_HUMAN	1	0.00227834417637142
ERBB4_HUMAN	3	0.336258392384545
SHB_HUMAN	3	0.187073466016366
OCLN_HUMAN	3	0.0512269635243918
PKHA7_HUMAN	4	0.00778749504054381
BCAP_HUMAN	2	0.106294826670202
RAPH1_HUMAN	2	0.00580315689837358
ABI1_HUMAN	2	0.394952841410961
MPP5_HUMAN	2	0.0011881123886117
REPS2_HUMAN	4	0.100463145099325
INADL_HUMAN	2	0.00996424542736057
PARD3_HUMAN	2	0.165350482988356
PAR3L_HUMAN	2	0.00059405619430585
UBS3B_HUMAN	6	0.265312984488261
WIPF2_HUMAN	2	0.069905528705992
ANS1A_HUMAN	4	0.0542423451274307
PDLI5_HUMAN	1	0.00461359141204319
RBM14_HUMAN	1	0.023235882834198
TBCB_HUMAN	7	0.01052992009129
PKP4_HUMAN	4	0.00265234684394286
DOK1_HUMAN	3	0.371757800145828
PAR6B_HUMAN	2	0.00996424542736057
SRCN1_HUMAN	3	0.0248091430080723
HIPK3_HUMAN	2	0.0596187838443485
CYBP_HUMAN	5	0.021030080876985
RHG35_HUMAN	2	0.0924728674467557
ABI2_HUMAN	2	0.0188431054480578
ITSN2_HUMAN	2	0.0166239131566668
PKP3_HUMAN	4	0.0081808228039307
TLN1_HUMAN	4	0.224774633244756
IRS2_HUMAN	3	0.333937432177655
JAM1_HUMAN	2	0.0139265313108728
M3K4_HUMAN	3	0.067005058958008
GRB2_HUMAN	2	1
MTOR_HUMAN	5	0.0794454224972983
RICTR_HUMAN	5	0.00473643947128936
