#  ConsensusPathDB (version MM) list of mouse protein interactions
#  source_databases	interaction_publications	interaction_participants	interaction_confidence
BIND	14988405	5HT2C_MOUSE,DLG3_MOUSE	0.0149385
BIND	11809816	IPO5_MOUSE,RAN_MOUSE	0.0171217
BIND	11805142	SH2B3_MOUSE,KIT_MOUSE	0.23599400000000001
BIND	11805154	Q62056_MOUSE,CD9_MOUSE	0.012235599999999999
BIND	11809816	UB2E3_MOUSE,IPO11_MOUSE	0.0141491
BIND	15543153	PP2BA_MOUSE,CALM_MOUSE	0.26212299999999999
BIND	9488663	Q3TMF4_MOUSE,ARAF_MOUSE	0.41989799999999999
BIND	15603741	ZDHC3_MOUSE,SNP25_MOUSE	0.016401700000000002
BIND	15603741	ZDH17_MOUSE,LCK_MOUSE	0.047627200000000001
BIND	15603741	ZDH17_MOUSE,SNP25_MOUSE	0.023113600000000002
BIND	15603741	ALEX_MOUSE.GNAS1_MOUSE.GNAS2_MOUSE.GNAS3_MOUSE,ZDHC3_MOUSE	NA
BIND	15603741	ZDHC7_MOUSE,SNP25_MOUSE	0.0075284899999999997
BIND	15603741	ALEX_MOUSE.GNAS1_MOUSE.GNAS2_MOUSE.GNAS3_MOUSE,ZDHC7_MOUSE	NA
BIND	15577914	MDM2_MOUSE,DHC24_MOUSE	0.53275700000000004
BIND	15688017	MTSS1_MOUSE,SRC8_MOUSE	0.0299776
BIND	15688017	ACTS_MOUSE,WASL_MOUSE	0.058625700000000003
BIND	12391150	E9PYJ8_MOUSE,NOTC1_MOUSE	0.56142400000000003
BIND	10022874	MKNK1_MOUSE,IF4G1_MOUSE	0.27010000000000001
BIND	15659653	ISL1_MOUSE,STAT3_MOUSE	0.029418300000000001
BIND	12614612	ORC5_MOUSE	0.0089412599999999995
BIND	12614612	Q3TQX1_MOUSE,ORC5_MOUSE	0.96860999999999997
BIND,Biogrid,PDB,IntAct	12192004,15286659,14973489	CDT1_MOUSE,GEMI_MOUSE	0.75986900000000002
