Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
WT_EGFR	EGFR_HUMAN	EGFR	67|52|45|55	219	54.75	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	68.92	547.50	0.00	
WT_EGFR	ERBB2_HUMAN	ERBB2	4|5|3|5	17	4.25	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	6.33	42.50	0.00	
WT_EGFR	P85B_HUMAN	PIK3R2	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_EGFR	P55G_HUMAN	PIK3R3	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_EGFR	P85A_HUMAN	PIK3R1	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_EGFR	K2C1_HUMAN	KRT1	3|4|6|5	18	4.50	4	10|10|7|7	0.00	0.00	0.00	0.00	0.00	-27.01	0.53	0.50	
WT_EGFR	K1C10_HUMAN	KRT10	2|0|3|3	8	2.00	4	1|2|4|3	0.01	0.02	0.01	0.02	0.01	-9.51	0.80	0.48	
WT_EGFR	K1C16_HUMAN	KRT16	0|0|2|1	3	0.75	4	1|1|2|2	0.03	0.12	0.03	0.12	0.03	-5.30	0.50	0.47	
WT_EGFR	GRB2_HUMAN	GRB2	2|0|2|2	6	1.50	4	0|0|0|0	0.74	0.99	0.74	0.99	0.74	-0.06	15.00	0.05	
WT_EGFR	GRP78_HUMAN	HSPA5	16|14|11|12	53	13.25	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	19.21	132.50	0.00	
WT_EGFR	K22E_HUMAN	KRT2	2|3|6|4	15	3.75	4	4|4|1|1	0.15	0.51	0.15	0.51	0.15	-5.56	1.50	0.43	
WT_EGFR	K2C8_HUMAN	KRT8	1|1|2|2	6	1.50	4	0|0|0|0	0.49	0.99	0.49	0.99	0.49	2.45	15.00	0.18	
WT_EGFR	K2C5_HUMAN	KRT5	1|1|3|2	7	1.75	4	1|1|2|0	0.30	0.75	0.30	0.75	0.30	-1.69	1.75	0.25	
WT_EGFR	K2C4_HUMAN	KRT4	0|0|0|0	0	0.00	4	0|1|0|0	0.00	0.00	0.00	0.00	0.00	-0.60	0.00	0.50	
WT_EGFR	K2C6B_HUMAN	KRT6B	1|2|4|4	11	2.75	4	2|2|2|1	0.25	0.48	0.25	0.48	0.25	-4.39	1.57	0.26	
WT_EGFR	K2C7_HUMAN	KRT7	0|0|0|2	2	0.50	4	0|0|0|0	0.25	0.99	0.25	0.99	0.25	-0.06	5.00	0.28	
WT_EGFR	HSP7C_HUMAN	HSPA8	15|10|12|11	48	12.00	4	0|0|1|1	1.00	1.00	1.00	1.00	1.00	12.87	24.00	0.00	
WT_EGFR	PK3CA_HUMAN	PIK3CA	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_EGFR	ERBB3_HUMAN	ERBB3	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_EGFR	ADT2_HUMAN	SLC25A5	5|3|5|5	18	4.50	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	6.33	45.00	0.00	
WT_EGFR	ADT3_HUMAN	SLC25A6	5|4|5|5	19	4.75	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	8.07	47.50	0.00	
WT_EGFR	K1C9_HUMAN	KRT9	1|1|1|0	3	0.75	4	0|0|1|0	0.00	0.00	0.00	0.00	0.00	-0.60	3.00	0.50	
WT_EGFR	TBA1A_HUMAN	TUBA1A	5|3|5|3	16	4.00	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	6.33	40.00	0.00	
WT_EGFR	TBA4A_HUMAN	TUBA4A	3|2|3|1	9	2.25	4	0|0|0|0	0.75	1.00	0.75	1.00	0.75	2.45	22.50	0.02	
WT_EGFR	ARHG5_HUMAN	ARHGEF5	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_EGFR	PK3CB_HUMAN	PIK3CB	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_EGFR	IRS1_HUMAN	IRS1	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_EGFR	TBB5_HUMAN	TUBB	8|6|5|2	21	5.25	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	4.48	52.50	0.00	
WT_EGFR	TBB3_HUMAN	TUBB3	2|2|3|1	8	2.00	4	0|0|0|0	0.74	1.00	0.74	1.00	0.74	2.45	20.00	0.04	
WT_EGFR	HS71A_HUMAN	HSPA1A	5|3|5|5	18	4.50	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	6.33	45.00	0.00	
WT_EGFR	HS90A_HUMAN	HSP90AA1	3|3|1|2	9	2.25	4	0|0|0|0	0.75	1.00	0.75	1.00	0.75	2.45	22.50	0.02	
WT_EGFR	HS90B_HUMAN	HSP90AB1	4|2|1|2	9	2.25	4	0|0|0|0	0.74	1.00	0.74	1.00	0.74	2.45	22.50	0.04	
WT_EGFR	1433E_HUMAN	YWHAE	1|0|0|0	1	0.25	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	2.50	0.50	
WT_EGFR	1433T_HUMAN	YWHAQ	1|0|0|0	1	0.25	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	2.50	0.50	
WT_EGFR	LPPRC_HUMAN	LRPPRC	1|3|3|3	10	2.50	4	0|0|0|0	0.75	1.00	0.75	1.00	0.75	2.45	25.00	0.00	
WT_EGFR	ERRFI_HUMAN	ERRFI1	1|2|1|1	5	1.25	4	0|0|0|0	0.25	0.99	0.25	0.99	0.25	2.45	12.50	0.28	
WT_EGFR	AP2A1_HUMAN	AP2A1	1|1|1|1	4	1.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	2.45	10.00	0.50	
WT_EGFR	GRB7_HUMAN	GRB7	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_EGFR	STAT3_HUMAN	STAT3	4|5|3|3	15	3.75	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	6.33	37.50	0.00	
WT_EGFR	ANXA2_HUMAN	ANXA2	3|4|0|1	8	2.00	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.06	20.00	0.10	
WT_EGFR	PTPRA_HUMAN	PTPRA	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_EGFR	C1QBP_HUMAN	C1QBP	0|0|0|0	0	0.00	4	7|5|0|0	0.00	0.00	0.00	0.00	0.00	-10.98	0.00	0.50	
WT_EGFR	SHC1_HUMAN	SHC1	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_EGFR	PTN11_HUMAN	PTPN11	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_EGFR	PON2_HUMAN	PON2	1|2|1|1	5	1.25	4	0|0|0|0	0.25	0.99	0.25	0.99	0.25	2.45	12.50	0.28	
WT_EGFR	MET_HUMAN	MET	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_EGFR	CRKL_HUMAN	CRKL	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_EGFR	CBL_HUMAN	CBL	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_EGFR	PHLA2_HUMAN	PHLDA2	1|1|0|1	3	0.75	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	7.50	0.50	
WT_EGFR	RT27_HUMAN	MRPS27	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_EGFR	M2OM_HUMAN	SLC25A11	1|0|1|2	4	1.00	4	0|0|0|0	0.25	0.99	0.25	0.99	0.25	-0.06	10.00	0.28	
WT_EGFR	STAT1_HUMAN	STAT1	3|2|1|1	7	1.75	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	2.45	17.50	0.14	
WT_EGFR	SLIRP_HUMAN	SLIRP	2|1|2|1	6	1.50	4	0|0|0|0	0.49	0.99	0.49	0.99	0.49	2.45	15.00	0.18	
WT_EGFR	PK3CD_HUMAN	PIK3CD	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_EGFR	GRP75_HUMAN	HSPA9	1|2|1|1	5	1.25	4	0|0|0|0	0.25	0.99	0.25	0.99	0.25	2.45	12.50	0.28	
WT_EGFR	AIFM1_HUMAN	AIFM1	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_EGFR	PHB_HUMAN	PHB	2|1|1|0	4	1.00	4	0|0|0|0	0.25	0.99	0.25	0.99	0.25	-0.06	10.00	0.28	
WT_EGFR	HNRPK_HUMAN	HNRNPK	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_EGFR	TMM33_HUMAN	TMEM33	2|0|1|0	3	0.75	4	0|0|0|0	0.25	0.99	0.25	0.99	0.25	-0.06	7.50	0.28	
WT_EGFR	RT34_HUMAN	MRPS34	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_ERBB3	EGFR_HUMAN	EGFR	5|3|4|5	17	4.25	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	6.33	42.50	0.00	
WT_ERBB3	ERBB2_HUMAN	ERBB2	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_ERBB3	P85B_HUMAN	PIK3R2	4|4|4|3	15	3.75	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	6.33	37.50	0.00	
WT_ERBB3	P55G_HUMAN	PIK3R3	2|2|3|3	10	2.50	4	0|0|0|0	0.99	1.00	0.99	1.00	0.99	4.48	25.00	0.00	
WT_ERBB3	P85A_HUMAN	PIK3R1	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_ERBB3	K2C1_HUMAN	KRT1	8|8|6|6	28	7.00	4	10|10|7|7	0.00	0.00	0.00	0.00	0.00	-21.10	0.82	0.50	
WT_ERBB3	K1C10_HUMAN	KRT10	5|5|3|2	15	3.75	4	1|2|4|3	0.11	0.22	0.11	0.22	0.11	-5.55	1.50	0.44	
WT_ERBB3	K1C16_HUMAN	KRT16	0|1|0|0	1	0.25	4	1|1|2|2	0.00	0.00	0.00	0.00	0.00	-5.30	0.17	0.50	
WT_ERBB3	GRB2_HUMAN	GRB2	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	0.00	0.50	
WT_ERBB3	GRP78_HUMAN	HSPA5	4|3|6|3	16	4.00	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	6.33	40.00	0.00	
WT_ERBB3	K22E_HUMAN	KRT2	5|5|4|4	18	4.50	4	4|4|1|1	0.14	0.22	0.14	0.22	0.14	-2.66	1.80	0.44	
WT_ERBB3	K2C8_HUMAN	KRT8	0|0|0|1	1	0.25	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.06	2.50	0.50	
WT_ERBB3	K2C5_HUMAN	KRT5	3|2|2|2	9	2.25	4	1|1|2|0	0.52	0.75	0.52	0.75	0.52	-0.24	2.25	0.09	
WT_ERBB3	K2C4_HUMAN	KRT4	0|0|0|0	0	0.00	4	0|1|0|0	0.00	0.00	0.00	0.00	0.00	-0.60	0.00	0.50	
