User Input	Mapped Gene Symbol	Num of Expt. (found/total)	Ave SC	Max SC
Q8WVM8	SCFD1	17 / 411	1.5	4
Q13049	TRIM32	1 / 411	1	1
P35232	PHB	85 / 411	3.9	34
O00459	PIK3R2	6 / 411	2.2	7
P09382	LGALS1	40 / 411	4.8	27
P07900	HSP90AA1	272 / 411	30	327
Q14568	Invalid identifier / gene not available			
P08238	HSP90AB1	277 / 411	30.7	278
Q58FF8	Invalid identifier / gene not available			
P04259	KRT6B	319 / 411	22.1	320
P02538	KRT6A	283 / 411	20.5	215
P48668	KRT6C	283 / 411	20.2	212
P04264	KRT1	386 / 411	79.5	1178
Q96P48	ARAP1	1 / 411	1	1
Q12774	ARHGEF5	1 / 411	1	1
P18433	Invalid identifier / gene not available			
Q07021	C1QBP	223 / 411	11.4	381
P42338	Invalid identifier / gene not available			
Q96NH3	Invalid identifier / gene not available			
P33992	MCM5	100 / 411	5	34
P11021	HSPA5	360 / 411	16.9	112
P13645	KRT10	355 / 411	65	824
O95831	AIFM1	101 / 411	7.8	92
O00567	NOP56	96 / 411	5.9	50
P57088	TMEM33	34 / 411	1.9	6
O95782	AP2A1	24 / 411	2.4	14
O94973	AP2A2	21 / 411	2	10
O15482	Invalid identifier / gene not available			
P05109	S100A8	57 / 411	3.1	17
O60716	CTNND1	32 / 411	4.6	26
P07437	TUBB	382 / 411	37.5	338
P42704	LRPPRC	130 / 411	15.5	112
P38646	HSPA9	307 / 411	19	160
P35908	KRT2	356 / 411	44.6	629
Q01546	KRT76	216 / 411	9.7	87
P19013	KRT4	192 / 411	5.2	43
P11142	HSPA8	396 / 411	39.2	332
P54652	HSPA2	385 / 411	15.4	167
Q8TEM1	NUP210	25 / 411	5.9	24
P62993	GRB2	7 / 411	1.4	3
P00533	EGFR	16 / 411	4.3	15
Q15751	HERC1	1 / 411	1	1
P68363	TUBA1B	389 / 411	38.9	314
Q71U36	TUBA1A	389 / 411	34.9	299
Q13748	TUBA3D	385 / 411	28.2	242
Q6PEY2	TUBA3E	383 / 411	24.2	227
Q9NY65	TUBA8	375 / 411	21.5	176
P68366	TUBA4A	377 / 411	28.6	242
A5A3E0	POTEF	351 / 411	11.2	193
P0CG38	Invalid identifier / gene not available			
